Pincode,Region,ProductID,Product,RetailerName,delivery_date(2024-03-15_15:01:00),delivery_date(2024-03-15_18:01:41),delivery_date(2024-03-16_13:15:33),delivery_date(2024-03-18_13:01:01),delivery_date(2024-03-19_11:01:38),delivery_date(2024-03-19_12:49:48),delivery_date(2024-03-19_15:44:36),delivery_date(2024-03-19_17:30:35),delivery_date(2024-03-20_08:30:47),delivery_date(2024-03-20_15:30:34),delivery_date(2024-03-21_12:30:31),delivery_date(2024-03-21_15:30:11)
600041,Chennai,B0BMVLRSN3,PRODUCT_Orient Electric Apex-FX Ceiling Fan 1200mm (BROWN)-Amazon_Orient,RetailEZ Pvt Ltd,23-03-2024,Currently Unavailable,23-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,27-03-2024,Currently Unavailable,27-03-2024,27-03-2024
600041,Chennai,B0BMVHSWYQ,PRODUCT_Orient Electric Apex-FX Ceiling Fan 1200mm(WHITE)-Amazon_Orient,RetailEZ Pvt Ltd,23-03-2024,Currently Unavailable,23-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,27-03-2024,Currently Unavailable,28-03-2024,04-02-2024
600041,Chennai,B0BMVG2CJK,PRODUCT_Orient Electric Apex-FX Ceiling Fan 1200mm(BLUE)-Amazon_Orient,RetailEZ Pvt Ltd,21-03-2024,Currently Unavailable,21-03-2024,24-03-2024,26-03-2024,24-03-2024,28-03-2024,28-03-2024,Currently Unavailable,Currently Unavailable,Currently Unavailable,30-03-2024
600041,Chennai,B0BMVLP6B1,PRODUCT_Orient Electric Apex-FX Ceiling Fan 1200mm(SMOKE BROWN)-Amazon_Orient,RetailEZ Pvt Ltd,21-03-2024,Currently Unavailable,24-03-2024,26-03-2024,26-03-2024,26-03-2024,26-03-2024,26-03-2024,26-03-2024,Currently Unavailable,27-03-2024,04-01-2024
600041,Chennai,B0BMVH2SXX,PRODUCT_Orient Electric Apex Prime 1200mm BEE Star Ceiling Fan (White)-Amazon_Orient,RetailEZ Pvt Ltd,Currently Unavailable,Currently Unavailable,25-03-2024,Currently Unavailable,Currently Unavailable,26-03-2024,30-03-2024,26-03-2024,27-03-2024,Currently Unavailable,27-03-2024,27-03-2024
600041,Chennai,B0BMVFDLXH,PRODUCT_Orient Electric Pacific Air Decor 1200mm BEE Star Rated Ceiling Fan (Smoke Brown)-Amazon_Orient,RetailEZ Pvt Ltd,21-03-2024,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,28-03-2024,28-03-2024,Currently Unavailable,Currently Unavailable,Currently Unavailable,28-03-2024,30-03-2024
600041,Chennai,B0BMVF3GZJ,PRODUCT_Orient Electric Pacific Air Decor 1200mm BEE Star Rated Ceiling Fan (White)-Amazon_Orient,RetailEZ Pvt Ltd,Currently Unavailable,Currently Unavailable,25-03-2024,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,30-03-2024,27-03-2024,Currently Unavailable,Currently Unavailable,29-03-2024
600041,Chennai,B0BMVFYDS3,PRODUCT_Orient Electric Pacific Air Decor BEE Star Rated Ceiling Fan1200mm (Ivory Gold)-Amazon_Orient,No Retailer Found,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable
600041,Chennai,B0CHRKX49F,PRODUCT_Orient Electric 1200 mm Zeno Ceiling Fan BEE 5-star rated White -Amazon_Orient,RetailEZ Pvt Ltd,Currently Unavailable,Currently Unavailable,23-03-2024,Currently Unavailable,28-03-2024,28-03-2024,28-03-2024,28-03-2024,28-03-2024,Currently Unavailable,30-03-2024,30-03-2024
600041,Chennai,B0CHRKX49F,PRODUCT_Orient Electric 1200 mm Zeno Ceiling Fan BEE 5-star rated White -Amazon_Orient,No Retailer Found,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable
600041,Chennai,B0CHRJ5QQY,PRODUCT_Orient Electric 1200 mm Zeno Ceiling Fan BEE 5-star rated Brown -Amazon_Orient,No Retailer Found,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable
600041,Chennai,B0CHRJ5QQY,PRODUCT_Orient Electric 1200 mm Zeno Ceiling Fan BEE 5-star rated Brown -Amazon_Orient,RetailEZ Pvt Ltd,Currently Unavailable,Currently Unavailable,21-03-2024,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,27-03-2024,27-03-2024
600041,Chennai,B09BJG5K8J,PRODUCT_Orient Electric 1200 mm I Tome Remote BLDC BEE 5-star rated Ceiling Fan Topaz Gold-Amazon_Orient,RetailEZ Pvt Ltd,21-03-2024,Currently Unavailable,21-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,27-03-2024,Currently Unavailable,27-03-2024,27-03-2024
600041,Chennai,B09WCT4TCT,PRODUCT_Orient Electric 1200 mm I Tome Remote BLDC BEE 5-star rated Ceiling Fan Black -Amazon_Orient,RetailEZ Pvt Ltd,19-03-2024,Currently Unavailable,21-03-2024,24-03-2024,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,28-03-2024
600041,Chennai,B09BJFB2HC,PRODUCT_Orient Electric 1200 mm I Tome Remote BLDC BEE 5-star rated Ceiling Fan Brown -Amazon_Orient,RetailEZ Pvt Ltd,19-03-2024,Currently Unavailable,21-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,27-03-2024,Currently Unavailable,24-03-2024,27-03-2024
600041,Chennai,B09BJG7BH6,PRODUCT_Orient Electric 1200 mm I Tome Remote BLDC BEE 5-star rated Ceiling Fan White -Amazon_Orient,RetailEZ Pvt Ltd,21-03-2024,Currently Unavailable,21-03-2024,Currently Unavailable,28-03-2024,28-03-2024,26-03-2024,28-03-2024,28-03-2024,Currently Unavailable,27-03-2024,27-03-2024
600041,Chennai,B09BJG7BH6,PRODUCT_Orient Electric 1200 mm I Tome Remote BLDC BEE 5-star rated Ceiling Fan White -Amazon_Orient,No Retailer Found,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable
600041,Chennai,B09WD61LZX,PRODUCT_Orient Electric 1200 mm I Tome Remote BLDC BEE 5-star rated Ceiling Fan Black -Amazon_Orient,RetailEZ Pvt Ltd,19-03-2024,Currently Unavailable,21-03-2024,24-03-2024,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable
600041,Chennai,B0B637TBWM,PRODUCT_Orient Electric 1200 mm I Tome Remote BLDC BEE 5-star rated remote Fan Wooden finish -Amazon_Orient,No Retailer Found,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable
600041,Chennai,B0BX9MXCLT,PRODUCT_Orient Electric 1200 mm I Falcon Deco BLDC Ceiling Fan Smoke Brown -Amazon_Orient,RetailEZ Pvt Ltd,21-03-2024,Currently Unavailable,21-03-2024,Currently Unavailable,24-03-2024,24-03-2024,24-03-2024,24-03-2024,27-03-2024,Currently Unavailable,27-03-2024,27-03-2024
600041,Chennai,B0BX9QW5GH,PRODUCT_Orient Electric 1200 mm I Falcon Deco BLDC Ceiling Fan White -Amazon_Orient,No Retailer Found,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable
600041,Chennai,B0BX9RGHFV,PRODUCT_Orient Electric 1200 mm I Falcon Deco BLDC Ceiling Fan Brown -Amazon_Orient,RetailEZ Pvt Ltd,21-03-2024,Currently Unavailable,21-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,27-03-2024,Currently Unavailable,27-03-2024,27-03-2024
600041,Chennai,B0BX9QH6QQ,PRODUCT_Orient Electric 1200 mm Jazz BLDC Ceiling Fan Orbes White -Amazon_Orient,RetailEZ Pvt Ltd,21-03-2024,Currently Unavailable,21-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,27-03-2024,Currently Unavailable,27-03-2024,27-03-2024
600041,Chennai,B0BX9RRH53,PRODUCT_Orient Electric 1200 mm Jazz BLDC Ceiling Fan Daytone Grey -Amazon_Orient,RetailEZ Pvt Ltd,21-03-2024,Currently Unavailable,21-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,27-03-2024,Currently Unavailable,27-03-2024,27-03-2024
600041,Chennai,B0BX9PGMKB,PRODUCT_Orient Electric 1200 mm Jazz BLDC Ceiling Fan Ash Rose -Amazon_Orient,No Retailer Found,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable
600041,Chennai,B0BX9PH1CJ,PRODUCT_Orient Electric 1200 mm Jazz BLDC Ceiling Fan Royal Manioca -Amazon_Orient,RetailEZ Pvt Ltd,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,28-03-2024,28-03-2024,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable
600041,Chennai,B0BX9NR2FG,PRODUCT_Orient Electric 1200 mm Jazz BLDC Ceiling Fan Smoke Brown -Amazon_Orient,RetailEZ Pvt Ltd,21-03-2024,Currently Unavailable,21-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,26-03-2024,Currently Unavailable,27-03-2024,27-03-2024
600041,Chennai,B0BX9MS72P,PRODUCT_Orient Electric 1200 mm Hector Deco BLDC Ceiling Fan Brown-Amazon_Orient,RetailEZ Pvt Ltd,21-03-2024,Currently Unavailable,21-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,24-03-2024,27-03-2024,Currently Unavailable,27-03-2024,27-03-2024
600041,Chennai,B0BX9N4RW7,PRODUCT_Orient Electric 1200 mm Hector Deco BLDC Ceiling Fan White-Amazon_Orient,RetailEZ Pvt Ltd,21-03-2024,Currently Unavailable,21-03-2024,Currently Unavailable,24-03-2024,24-03-2024,24-03-2024,24-03-2024,27-03-2024,Currently Unavailable,27-03-2024,27-03-2024
600041,Chennai,B0BX9PVY92,PRODUCT_Orient Electric 1200 mm Hector Deco BLDC Ceiling Fan Royal Manioca -Amazon_Orient,No Retailer Found,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable,Currently Unavailable
600041,Chennai,B0BX9Q6XPD,PRODUCT_Orient Electric 1200 mm Hector Deco BLDC Ceiling Fan Smoke Brown -Amazon_Orient,RetailEZ Pvt Ltd,21-03-2024,Currently Unavailable,23-03-2024,24-03-2024,26-03-2024,26-03-2024,26-03-2024,26-03-2024,27-03-2024,Currently Unavailable,27-03-2024,28-03-2024
